Date,Checker,Page,Account_No,Cust_Name_Correct,Cust_Address_Correct,Beyond_Eligibility,Marketing_Preference,Marketing_Consent_Correct,GSP,Fuel,Tariff,Meter_Type,Payment_Method,NewSC_PIN,NewSC_PriceFile,NewR1_PIN,NewR1_PriceFile,NewR2_PIN,NewR2_PriceFile,NewR3_PIN,NewR3_PriceFile,NewR4_PIN,NewR4_PriceFile,New_SC_Rates_Correct,OldAnnualCost,NewAnnualCost,ChangeDifference,ChangeAmountCorrect,AreFrontPageCalculationCorrect,PIN_Personal_Projection,Calculated_Personal_Projection,Difference,SimilarTariff,SimilarMeter,Calculated_Similar_Projection,Calculated_Similar_Saving,Similar_Saving_Correct,OverallTariff,OverallMeter,Calculated_Overall_Projection,Calculated_Overall_Saving,Overall_Saving_Correct,PresentmentCorrect,Incr_Decr_Check,Creative,PassFailUnsure,Comments
"","","",22696464,"","",PROSPECTIVE,EMAIL,"",_M,Electric,Simpler Energy - Economy 7,Economy 7,On Demand,0.7613,0.7466,0.2886,0.2739,0.2114,0.1967,0.0000,"",0.0000,"","",876.32,915.93,39.6099999999999,"","",915.93,876.26,95.67%,Simpler Energy,Standard,805.23,71.02999999999997,Yes,1 Year Fixed Loyalty,1 Year Fixed Loyalty,777.3,98.96000000000004,No,"","","","",""
"","","",22696464,"","",PROSPECTIVE,EMAIL,"",_M,Gas,Simpler Energy,Standard,On Demand,0.3694,0.3631,0.0695,0.0664,N/A,N/A,N/A,N/A,N/A,N/A,"",518.86,539.50,20.639999999999986,"","",539.50,519.1,96.22%,Simpler Energy,Standard,483.09,-36.01000000000005,Yes,1 Year Fixed Loyalty,1 Year Fixed Loyalty,498.25,-20.850000000000023,No,"","","","",""
"","","",21466641,"","",PROSPECTIVE,POST,"",_M,Electric,Simpler Energy - Economy 7,Economy 7,On Demand,0.7613,0.7466,0.2886,0.2739,0.2114,0.1967,0.0000,"",0.0000,"","",1074.43,1125.88,51.450000000000045,"","",1125.88,1074.37,95.42%,Simpler Energy,Standard,997.31,77.05999999999995,Yes,1 Year Fixed Loyalty,1 Year Fixed Loyalty,966.15,108.21999999999991,No,"","","","",""
"","","",21466641,"","",PROSPECTIVE,POST,"",_M,Gas,Simpler Energy,Standard,On Demand,0.3694,0.3631,0.0695,0.0664,N/A,N/A,N/A,N/A,N/A,N/A,"",1500.61,1567.85,67.24000000000001,"","",1567.85,1501.43,95.76%,Simpler Energy,Standard,1416.61,-84.82000000000016,Yes,1 Year Fixed Loyalty,1 Year Fixed Loyalty,1486.5,-14.930000000000064,No,"","","","",""
"","","",21419507,"","",PROSPECTIVE,POST,"",_M,Electric,Simpler Energy - Economy 7,Economy 7,On Demand,0.7613,0.7466,0.2886,0.2739,0.2114,0.1967,0.0000,"",0.0000,"","",468.04,484.18,16.139999999999986,"","",484.18,468.03,96.66%,Simpler Energy,Standard,424.19,43.839999999999975,Yes,1 Year Fixed Loyalty,1 Year Fixed Loyalty,402.64,65.38999999999999,No,"","","","",""
"","","",21419507,"","",PROSPECTIVE,POST,"",_M,Gas,Simpler Energy,Standard,On Demand,0.3694,0.3631,0.0695,0.0664,N/A,N/A,N/A,N/A,N/A,N/A,"",317.07,328.13,11.060000000000002,"","",328.13,317.19,96.67%,Simpler Energy,Standard,291.22,-25.96999999999997,Yes,1 Year Fixed Loyalty,1 Year Fixed Loyalty,295.12,-22.069999999999993,No,"","","","",""
"","","",26615807,"","",PROSPECTIVE,POST,"",_M,Electric,Simpler Energy - 2 Rate,2 Rate,On Demand,0.7613,0.7466,0.2823,0.2676,0.2242,0.2095,0.0000,"",0.0000,"","",1611.24,1695.63,84.3900000000001,"","",1695.63,1611.14,95.02%,Simpler Energy - 2 Rate,2 Rate,1520.61,90.5300000000002,Yes,1 Year Fixed Loyalty,1 Year Fixed Loyalty,1491.89,119.25,No,"","","","",""
"","","",26615807,"","",PROSPECTIVE,POST,"",_M,Gas,Simpler Energy,Standard,On Demand,0.3694,0.3631,0.0695,0.0664,N/A,N/A,N/A,N/A,N/A,N/A,"",400.19,415.19,15,"","",415.19,400.35,96.43%,Simpler Energy,Standard,370.25,-30.100000000000023,Yes,1 Year Fixed Loyalty,1 Year Fixed Loyalty,378.79,-21.560000000000002,No,"","","","",""
"","","",25760608,"","",PROSPECTIVE,OPTED OUT,"",_M,Electric,Simpler Energy - Economy 7,Economy 7,On Demand,0.7613,0.7466,0.2886,0.2739,0.2114,0.1967,0.0000,"",0.0000,"","",840.18,877.46,37.280000000000086,"","",877.46,840.13,95.75%,Simpler Energy,Standard,767.3,72.83000000000004,Yes,1 Year Fixed Loyalty,1 Year Fixed Loyalty,740,100.13,No,"","","","",""
"","","",25760608,"","",PROSPECTIVE,OPTED OUT,"",_M,Gas,Simpler Energy,Standard,On Demand,0.3694,0.3631,0.0695,0.0664,N/A,N/A,N/A,N/A,N/A,N/A,"",467.53,485.73,18.200000000000045,"","",485.73,467.73,96.29%,Simpler Energy,Standard,434.28,-33.450000000000045,Yes,1 Year Fixed Loyalty,1 Year Fixed Loyalty,446.58,-21.150000000000034,No,"","","","",""
"","","",23877817,"","",PROSPECTIVE,POST,"",_M,Electric,Simpler Energy - Economy 7,Economy 7,On Demand,0.7613,0.7466,0.2886,0.2739,0.2114,0.1967,0.0000,"",0.0000,"","",1770.20,1861.56,91.3599999999999,"","",1861.56,1770.06,95.08%,Simpler Energy,Standard,1645.11,124.95000000000005,Yes,1 Year Fixed Loyalty,1 Year Fixed Loyalty,1603.09,166.97000000000003,No,"","","","",""
"","","",23877817,"","",PROSPECTIVE,POST,"",_M,Gas,Simpler Energy,Standard,On Demand,0.3694,0.3631,0.0695,0.0664,N/A,N/A,N/A,N/A,N/A,N/A,"",1519.78,1587.93,68.15000000000009,"","",1587.93,1520.62,95.76%,Simpler Energy,Standard,1434.85,-85.76999999999998,Yes,1 Year Fixed Loyalty,1 Year Fixed Loyalty,1505.81,-14.809999999999945,No,"","","","",""
"","","",21411887,"","",PROSPECTIVE,POST,"",_M,Electric,Simpler Energy - Economy 7,Economy 7,On Demand,0.7613,0.7466,0.2886,0.2739,0.2114,0.1967,0.0000,"",0.0000,"","",719.56,750.02,30.460000000000036,"","",750.02,719.52,95.93%,Simpler Energy,Standard,656.59,62.92999999999995,Yes,1 Year Fixed Loyalty,1 Year Fixed Loyalty,631.14,88.38,No,"","","","",""
"","","",21411887,"","",PROSPECTIVE,POST,"",_M,Gas,Simpler Energy,Standard,On Demand,0.3694,0.3631,0.0695,0.0664,N/A,N/A,N/A,N/A,N/A,N/A,"",1184.74,1236.99,52.25,"","",1236.99,1185.38,95.83%,Simpler Energy,Standard,1116.26,-69.12000000000012,Yes,1 Year Fixed Loyalty,1 Year Fixed Loyalty,1168.54,-16.840000000000146,No,"","","","",""
"","","",23035190,"","",PROSPECTIVE,OPTED OUT,"",_M,Electric,Simpler Energy - Economy 7,Economy 7,On Demand,0.7613,0.7466,0.2886,0.2739,0.2114,0.1967,0.0000,"",0.0000,"","",1197.46,1255.30,57.83999999999992,"","",1255.30,1197.37,95.39%,Simpler Energy,Standard,1101.1,96.26999999999998,Yes,1 Year Fixed Loyalty,1 Year Fixed Loyalty,1068.2,129.16999999999985,No,"","","","",""
