, ,1,2,3,4,5,6,7,8,9,10,11,12,13.0000,14,15,16,17.0000,18,19,20.0000,21,22,23.0000,24,25,26.0000,,
,,,ID SP,DESCRIPTION,FUEL,CD GZ,MPAN,METER CATEGORY,ETFV DT,RATE CD,RATE,SC DESCRIPTION,SC EX VAT,SC INC VAT,Change,UR1 DESCRIPTION,UR 1 EX VAT,UR 1 INC VAT,UR2 DESCRIPTION,UR 2 EX VAT,UR 2 INC VAT,UR3 DESCRIPTION,UR 3 EX VAT,UR 3 INC VAT,UR4 DESCRIPTION,UR 4 EX VAT,UR 4 INC VAT,,RATE TYPE
1,Standard_A,Standard_A1,,Standard,Electric,_A,,Standard,,,Direct Debit,Standing Charge,,0.486360,,Anytime,,0.273210,,,,,,,,,,,Dry Run SVT Direct Debit 
1,Standard_B,Standard_B1,,Standard,Electric,_B,,Standard,,,Direct Debit,Standing Charge,,0.493815,,Anytime,,0.263655,,,,,,,,,,,Dry Run SVT Direct Debit 
1,Standard_C,Standard_C1,,Standard,Electric,_C,,Standard,,,Direct Debit,Standing Charge,,0.461895,,Anytime,,0.264705,,,,,,,,,,,Dry Run SVT Direct Debit 
1,Standard_D,Standard_D1,,Standard,Electric,_D,,Standard,,,Direct Debit,Standing Charge,,0.695310,,Anytime,,0.284970,,,,,,,,,,,Dry Run SVT Direct Debit 
1,Standard_E,Standard_E1,,Standard,Electric,_E,,Standard,,,Direct Debit,Standing Charge,,0.531300,,Anytime,,0.264600,,,,,,,,,,,Dry Run SVT Direct Debit 
1,Standard_F,Standard_F1,,Standard,Electric,_F,,Standard,,,Direct Debit,Standing Charge,,0.598290,,Anytime,,0.262395,,,,,,,,,,,Dry Run SVT Direct Debit 
1,Standard_G,Standard_G1,,Standard,Electric,_G,,Standard,,,Direct Debit,Standing Charge,,0.513030,,Anytime,,0.279300,,,,,,,,,,,Dry Run SVT Direct Debit 
1,Standard_P,Standard_P1,,Standard,Electric,_P,,Standard,,,Direct Debit,Standing Charge,,0.608685,,Anytime,,0.269850,,,,,,,,,,,Dry Run SVT Direct Debit 
1,Standard_N,Standard_N1,,Standard,Electric,_N,,Standard,,,Direct Debit,Standing Charge,,0.565005,,Anytime,,0.258195,,,,,,,,,,,Dry Run SVT Direct Debit 
1,Standard_J,Standard_J1,,Standard,Electric,_J,,Standard,,,Direct Debit,Standing Charge,,0.480165,,Anytime,,0.276780,,,,,,,,,,,Dry Run SVT Direct Debit 
1,Standard_H,Standard_H1,,Standard,Electric,_H,,Standard,,,Direct Debit,Standing Charge,,0.451185,,Anytime,,0.272370,,,,,,,,,,,Dry Run SVT Direct Debit 
1,Standard_K,Standard_K1,,Standard,Electric,_K,,Standard,,,Direct Debit,Standing Charge,,0.517860,,Anytime,,0.276045,,,,,,,,,,,Dry Run SVT Direct Debit 
1,Standard_L,Standard_L1,,Standard,Electric,_L,,Standard,,,Direct Debit,Standing Charge,,0.542640,,Anytime,,0.275730,,,,,,,,,,,Dry Run SVT Direct Debit 
1,Standard_M,Standard_M1,,Standard,Electric,_M,,Standard,,,Direct Debit,Standing Charge,,0.586320,,Anytime,,0.261765,,,,,,,,,,,Dry Run SVT Direct Debit 
1,Economy 7_A,Economy 7_A1,,Economy 7,Electric,_A,,Economy 7,,,Direct Debit,Standing Charge,,0.489720,,Peak,,0.300510,Off peak ,,0.205065,,,,,,,,Dry Run SVT Direct Debit 
1,Economy 7_B,Economy 7_B1,,Economy 7,Electric,_B,,Economy 7,,,Direct Debit,Standing Charge,,0.490875,,Peak,,0.289275,Off peak ,,0.200445,,,,,,,,Dry Run SVT Direct Debit 
1,Economy 7_C,Economy 7_C1,,Economy 7,Electric,_C,,Economy 7,,,Direct Debit,Standing Charge,,0.460215,,Peak,,0.282975,Off peak ,,0.211575,,,,,,,,Dry Run SVT Direct Debit 
1,Economy 7_D,Economy 7_D1,,Economy 7,Electric,_D,,Economy 7,,,Direct Debit,Standing Charge,,0.691950,,Peak,,0.312375,Off peak ,,0.212625,,,,,,,,Dry Run SVT Direct Debit 
1,Economy 7_E,Economy 7_E1,,Economy 7,Electric,_E,,Economy 7,,,Direct Debit,Standing Charge,,0.530460,,Peak,,0.286650,Off peak ,,0.206745,,,,,,,,Dry Run SVT Direct Debit 
1,Economy 7_F,Economy 7_F1,,Economy 7,Electric,_F,,Economy 7,,,Direct Debit,Standing Charge,,0.594300,,Peak,,0.284025,Off peak ,,0.205065,,,,,,,,Dry Run SVT Direct Debit 
1,Economy 7_G,Economy 7_G1,,Economy 7,Electric,_G,,Economy 7,,,Direct Debit,Standing Charge,,0.509880,,Peak,,0.308700,Off peak ,,0.203805,,,,,,,,Dry Run SVT Direct Debit 
1,Economy 7_P,Economy 7_P1,,Economy 7,Electric,_P,,Economy 7,,,Direct Debit,Standing Charge,,0.616665,,Peak,,0.295785,Off peak ,,0.202230,,,,,,,,Dry Run SVT Direct Debit 
1,Economy 7_N,Economy 7_N1,,Economy 7,Electric,_N,,Economy 7,,,Direct Debit,Standing Charge,,0.572880,,Peak,,0.282030,Off peak ,,0.195720,,,,,,,,Dry Run SVT Direct Debit 
1,Economy 7_J,Economy 7_J1,,Economy 7,Electric,_J,,Economy 7,,,Direct Debit,Standing Charge,,0.483420,,Peak,,0.304290,Off peak ,,0.206640,,,,,,,,Dry Run SVT Direct Debit 
1,Economy 7_H,Economy 7_H1,,Economy 7,Electric,_H,,Economy 7,,,Direct Debit,Standing Charge,,0.453075,,Peak,,0.296100,Off peak ,,0.208845,,,,,,,,Dry Run SVT Direct Debit 
1,Economy 7_K,Economy 7_K1,,Economy 7,Electric,_K,,Economy 7,,,Direct Debit,Standing Charge,,0.512400,,Peak,,0.303135,Off peak ,,0.207375,,,,,,,,Dry Run SVT Direct Debit 
1,Economy 7_L,Economy 7_L1,,Economy 7,Electric,_L,,Economy 7,,,Direct Debit,Standing Charge,,0.547365,,Peak,,0.303135,Off peak ,,0.205695,,,,,,,,Dry Run SVT Direct Debit 
1,Economy 7_M,Economy 7_M1,,Economy 7,Electric,_M,,Economy 7,,,Direct Debit,Standing Charge,,0.583800,,Peak,,0.280140,Off peak ,,0.210630,,,,,,,,Dry Run SVT Direct Debit 
1,Economy 10_A,Economy 10_A1,,Economy 10,Electric,_A,,Economy 10,,,Direct Debit,Standing Charge,,0.489720,,Peak,,0.295155,Off peak ,,0.225750,,,,,,,,Dry Run SVT Direct Debit 
1,Economy 10_B,Economy 10_B1,,Economy 10,Electric,_B,,Economy 10,,,Direct Debit,Standing Charge,,0.490875,,Peak,,0.284025,Off peak ,,0.219870,,,,,,,,Dry Run SVT Direct Debit 
1,Economy 10_C,Economy 10_C1,,Economy 10,Electric,_C,,Economy 10,,,Direct Debit,Standing Charge,,0.460215,,Peak,,0.278040,Off peak ,,0.227850,,,,,,,,Dry Run SVT Direct Debit 
1,Economy 10_D,Economy 10_D1,,Economy 10,Electric,_D,,Economy 10,,,Direct Debit,Standing Charge,,0.691950,,Peak,,0.306390,Off peak ,,0.234570,,,,,,,,Dry Run SVT Direct Debit 
1,Economy 10_E,Economy 10_E1,,Economy 10,Electric,_E,,Economy 10,,,Direct Debit,Standing Charge,,0.530460,,Peak,,0.282975,Off peak ,,0.223230,,,,,,,,Dry Run SVT Direct Debit 
1,Economy 10_F,Economy 10_F1,,Economy 10,Electric,_F,,Economy 10,,,Direct Debit,Standing Charge,,0.594300,,Peak,,0.280665,Off peak ,,0.221025,,,,,,,,Dry Run SVT Direct Debit 
1,Economy 10_G,Economy 10_G1,,Economy 10,Electric,_G,,Economy 10,,,Direct Debit,Standing Charge,,0.509880,,Peak,,0.301455,Off peak ,,0.227850,,,,,,,,Dry Run SVT Direct Debit 
1,Economy 10_P,Economy 10_P1,,Economy 10,Electric,_P,,Economy 10,,,Direct Debit,Standing Charge,,0.616665,,Peak,,0.290115,Off peak ,,0.222810,,,,,,,,Dry Run SVT Direct Debit 
1,Economy 10_N,Economy 10_N1,,Economy 10,Electric,_N,,Economy 10,,,Direct Debit,Standing Charge,,0.572880,,Peak,,0.278355,Off peak ,,0.213150,,,,,,,,Dry Run SVT Direct Debit 
1,Economy 10_J,Economy 10_J1,,Economy 10,Electric,_J,,Economy 10,,,Direct Debit,Standing Charge,,0.483420,,Peak,,0.301455,Off peak ,,0.225015,,,,,,,,Dry Run SVT Direct Debit 
1,Economy 10_H,Economy 10_H1,,Economy 10,Electric,_H,,Economy 10,,,Direct Debit,Standing Charge,,0.453075,,Peak,,0.294210,Off peak ,,0.224700,,,,,,,,Dry Run SVT Direct Debit 
1,Economy 10_K,Economy 10_K1,,Economy 10,Electric,_K,,Economy 10,,,Direct Debit,Standing Charge,,0.512400,,Peak,,0.303030,Off peak ,,0.222810,,,,,,,,Dry Run SVT Direct Debit 
1,Economy 10_L,Economy 10_L1,,Economy 10,Electric,_L,,Economy 10,,,Direct Debit,Standing Charge,,0.547365,,Peak,,0.306285,Off peak ,,0.218190,,,,,,,,Dry Run SVT Direct Debit 
1,Economy 10_M,Economy 10_M1,,Economy 10,Electric,_M,,Economy 10,,,Direct Debit,Standing Charge,,0.583800,,Peak,,0.276465,Off peak ,,0.225435,,,,,,,,Dry Run SVT Direct Debit 
