, ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,,
,,,ID SP,DESCRIPTION,FUEL,CD GZ,MPAN,METER CATEGORY,ETFV DT,RATE CD,RATE,SC DESCRIPTION,SC EX VAT,SC INC VAT,Change,UR1 DESCRIPTION,UR 1 EX VAT,UR 1 INC VAT,UR2 DESCRIPTION,UR 2 EX VAT,UR 2 INC VAT,UR3 DESCRIPTION,UR 3 EX VAT,UR 3 INC VAT,UR4 DESCRIPTION,UR 4 EX VAT,UR 4 INC VAT,,RATE TYPE
1,Standard_A,Standard_A1,,Standard,Electric,_A,,Standard,,,Direct Debit,Standing Charge,0.4841,0.5083,,Anytime,0.2435,0.2557,,,,,,,,,,,Live Run SVT Direct Debit 
1,Standard_B,Standard_B1,,Standard,Electric,_B,,Standard,,,Direct Debit,Standing Charge,0.5418,0.5689,,Anytime,0.2296,0.2411,,,,,,,,,,,Live Run SVT Direct Debit 
1,Standard_C,Standard_C1,,Standard,Electric,_C,,Standard,,,Direct Debit,Standing Charge,0.3958,0.4156,,Anytime,0.2481,0.2605,,,,,,,,,,,Live Run SVT Direct Debit 
1,Standard_D,Standard_D1,,Standard,Electric,_D,,Standard,,,Direct Debit,Standing Charge,0.6464,0.6787,,Anytime,0.2453,0.2576,,,,,,,,,,,Live Run SVT Direct Debit 
1,Standard_E,Standard_E1,,Standard,Electric,_E,,Standard,,,Direct Debit,Standing Charge,0.6057,0.636,,Anytime,0.2303,0.2418,,,,,,,,,,,Live Run SVT Direct Debit 
1,Standard_F,Standard_F1,,Standard,Electric,_F,,Standard,,,Direct Debit,Standing Charge,0.6865,0.7208,,Anytime,0.2239,0.2351,,,,,,,,,,,Live Run SVT Direct Debit 
1,Standard_G,Standard_G1,,Standard,Electric,_G,,Standard,,,Direct Debit,Standing Charge,0.4955,0.5203,,Anytime,0.2414,0.2535,,,,,,,,,,,Live Run SVT Direct Debit 
1,Standard_P,Standard_P1,,Standard,Electric,_P,,Standard,,,Direct Debit,Standing Charge,0.5901,0.6196,,Anytime,0.2407,0.2527,,,,,,,,,,,Live Run SVT Direct Debit 
1,Standard_N,Standard_N1,,Standard,Electric,_N,,Standard,,,Direct Debit,Standing Charge,0.611,0.6416,,Anytime,0.2315,0.2431,,,,,,,,,,,Live Run SVT Direct Debit 
1,Standard_J,Standard_J1,,Standard,Electric,_J,,Standard,,,Direct Debit,Standing Charge,0.5507,0.5782,,Anytime,0.2437,0.2559,,,,,,,,,,,Live Run SVT Direct Debit 
1,Standard_H,Standard_H1,,Standard,Electric,_H,,Standard,,,Direct Debit,Standing Charge,0.612,0.6426,,Anytime,0.2378,0.2497,,,,,,,,,,,Live Run SVT Direct Debit 
1,Standard_K,Standard_K1,,Standard,Electric,_K,,Standard,,,Direct Debit,Standing Charge,0.6104,0.6409,,Anytime,0.2366,0.2484,,,,,,,,,,,Live Run SVT Direct Debit 
1,Standard_L,Standard_L1,,Standard,Electric,_L,,Standard,,,Direct Debit,Standing Charge,0.6486,0.681,,Anytime,0.2336,0.2453,,,,,,,,,,,Live Run SVT Direct Debit 
1,Standard_M,Standard_M1,,Standard,Electric,_M,,Standard,,,Direct Debit,Standing Charge,0.6505,0.683,,Anytime,0.2272,0.2386,,,,,,,,,,,Live Run SVT Direct Debit 
